antigen_species,count
escherichia coli | homo sapiens,2
dianlovirus menglaense,2
cricetulus griseus | cricetulus griseus,2
dengue virus 3 | dengue virus 3,2
rabies virus strain pasteur vaccin,2
tick-borne encephalitis virus (strain hypr),2
human papillomavirus type 58 | human papillomavirus type 58 | human papillomavirus type 58 | human papillomavirus type 58,2
dendroaspis polylepis polylepis,2
methanocaldococcus jannaschii,2
andes orthohantavirus,2
rhinovirus b14,2
lyssavirus rabies,2
influenza a virus (a/brevigmission/1/1918(h1n1))  | influenza a virus (a/brevigmission/1/1918(h1n1)),2
pisum sativum,2
rhodopseudomonas palustris,2
bacteriophage sp.,2
zika virus zikv/human/cambodia/fss13025/2010,2
tgev virulent purdue,2
dendraspis polylepis polylepis,2
theileria parva strain muguga,2
human poliovirus 3 strain sabin | human poliovirus 3 strain sabin | human poliovirus 3 strain sabin,2
mus musculus | gallus gallus,2
orthonairovirus haemorrhagiae,2
"homo sapiens | influenza a virus, homo sapiens",2
plasmodium falciparum (isolate nf54),2
hevea brasiliensis,2
bungarus fasciatus,2
shigella sonnei,2
human enterovirus d68 | human enterovirus d68,2
staphylococcus aureus subsp. aureus n315,2
echovirus e30 | echovirus e30,2
staphylococcus aureus subsp. aureus tch60,2
phage #d,2
deinococcus radiodurans,2
drosophila melanogaster | drosophila melanogaster | drosophila melanogaster,2
"severe acute respiratory syndrome coronavirus2, enterobacteria phage t4  | severe acute respiratory syndrome coronavirus2, enterobacteria phage t4",2
plasmodium falciparum k1,2
zaire ebolavirus | zaire ebolavirus,2
human papillomavirus type 58 | human papillomavirus type 58,2
pseudomonas aeruginosa pao1,2
human enterovirus d68 | human enterovirus d68 | human enterovirus d68,2
entamoeba histolytica,2
thermotoga maritima (strain atcc 43589 / msb8 /dsm 3109 / jcm 10099),2
bos taurus | bos taurus | rattus norvegicus,2
potyviridae,2
"influenza a virus, human immunodeficiency virustype 1 group m subtype b, enterobacteria phage t4",2
hbv genotype d3,2
severe acute respiratory syndrome coronavirus2  | homo sapiens,2
epstein-barr virus (strain gd1),2
influenza a virus (strain a/usah1n1)  | influenza a virus (strain a/usah1n1),2
"severe acute respiratory syndrome coronavirus2, human immunodeficiency virus 1",2
varicella-zoster virus (strain oka vaccine),2
borrelia burgdorferi (strain atcc 35210 / b31 /cip 102532 / dsm 4680),2
centruroides noxius,2
influenza a virus (a/nt/60/1968(h3n2)) | influenza a virus (a/nt/60/1968(h3n2)),2
influenza a virus (a/hunan/02650/2016(h7n9),2
enterovirus d68 | enterovirus d68 | enterovirus d68,2
plasmodium falciparum | camelidae mixed library,2
homo sapiens | human immunodeficiency virus 1,2
thermus aquaticus,2
influenza b virus | influenza b virus,2
escherichia coli 2-156-04_s3_c3,2
coxsackievirus b3 (strain nancy),2
carlito syrichta,2
influenza a virus (strain a/hong kong/1/1968h3n2)  | influenza a virus | influenza a virus,2
influenza a virus (a/chicken/thailand/tak-01/2004(h5n1)),2
